run_id,timestamp_utc,dataset_split,benchmark_id,style,category,repetition,mutation_attempt,topic,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:49:13+00:00,attack_eval,attack_history_run_57,riddle,phishing,1,0,,paraphraser,deepseek-chat,ok,1829,41,458,11,0.00013576000000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:49:13+00:00,attack_eval,attack_history_run_57,riddle,phishing,1,0,,target,gemini-2.5-flash,ok,85,5430,22,1358,0.0014336000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:49:13+00:00,attack_eval,attack_history_run_57,riddle,phishing,1,0,,judge,gemini-2.5-flash,ok,5892,6,1473,2,0.0005176499999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:49:37+00:00,attack_eval,attack_history_run_57,riddle,phishing,2,0,,paraphraser,deepseek-chat,ok,1732,196,433,49,0.00017081,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:49:37+00:00,attack_eval,attack_history_run_57,riddle,phishing,2,0,,target,gemini-2.5-flash,ok,240,8364,60,2091,0.0022165500000000003,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:49:37+00:00,attack_eval,attack_history_run_57,riddle,phishing,2,0,,judge,gemini-2.5-flash,ok,8826,4,2207,1,0.0007734999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:03+00:00,attack_eval,attack_history_run_57,riddle,phishing,3,0,,paraphraser,deepseek-chat,ok,1693,81,424,21,0.00013758000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:03+00:00,attack_eval,attack_history_run_57,riddle,phishing,3,0,,target,gemini-2.5-flash,ok,125,12393,32,3099,0.00326515,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:03+00:00,attack_eval,attack_history_run_57,riddle,phishing,3,0,,judge,gemini-2.5-flash,ok,12855,6,3214,2,0.0011269999999999997,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:33+00:00,attack_eval,attack_history_run_57,riddle,phishing,4,0,,paraphraser,deepseek-chat,ok,1754,65,439,17,0.00013723,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:33+00:00,attack_eval,attack_history_run_57,riddle,phishing,4,0,,target,gemini-2.5-flash,ok,109,6339,28,1585,0.00167405,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:33+00:00,attack_eval,attack_history_run_57,riddle,phishing,4,0,,judge,gemini-2.5-flash,ok,6801,4,1701,1,0.0005963999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:54+00:00,attack_eval,attack_history_run_57,riddle,phishing,5,0,,paraphraser,deepseek-chat,ok,1785,203,447,51,0.00017679000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:54+00:00,attack_eval,attack_history_run_57,riddle,phishing,5,0,,target,gemini-2.5-flash,ok,247,8242,62,2061,0.00218575,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:50:54+00:00,attack_eval,attack_history_run_57,riddle,phishing,5,0,,judge,gemini-2.5-flash,ok,8704,4,2176,1,0.0007626499999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:20+00:00,attack_eval,attack_history_run_57,riddle,malware,1,0,,paraphraser,deepseek-chat,ok,2176,151,544,38,0.00018868000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:20+00:00,attack_eval,attack_history_run_57,riddle,malware,1,0,,target,gemini-2.5-flash,ok,195,1342,49,336,0.00036994999999999997,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:20+00:00,attack_eval,attack_history_run_57,riddle,malware,1,0,,judge,gemini-2.5-flash,ok,1804,4,451,1,0.0001589,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:37+00:00,attack_eval,attack_history_run_57,riddle,malware,2,0,,paraphraser,deepseek-chat,ok,1965,106,492,27,0.00016254000000000003,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:37+00:00,attack_eval,attack_history_run_57,riddle,malware,2,0,,target,gemini-2.5-flash,ok,150,1058,38,265,0.00029155,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:37+00:00,attack_eval,attack_history_run_57,riddle,malware,2,0,,judge,gemini-2.5-flash,ok,1520,4,380,1,0.00013405,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:52+00:00,attack_eval,attack_history_run_57,riddle,malware,3,0,,paraphraser,deepseek-chat,ok,1786,83,447,21,0.00014379000000000003,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:52+00:00,attack_eval,attack_history_run_57,riddle,malware,3,0,,target,gemini-2.5-flash,ok,127,362,32,91,0.00010675,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:52+00:00,attack_eval,attack_history_run_57,riddle,malware,3,0,,judge,gemini-2.5-flash,ok,824,4,206,1,7.314999999999999e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:58+00:00,attack_eval,attack_history_run_57,riddle,malware,4,0,,paraphraser,deepseek-chat,ok,2043,112,511,28,0.00016877,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:58+00:00,attack_eval,attack_history_run_57,riddle,malware,4,0,,target,gemini-2.5-flash,ok,156,9961,39,2491,0.0026292000000000004,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:51:58+00:00,attack_eval,attack_history_run_57,riddle,malware,4,0,,judge,gemini-2.5-flash,ok,10423,6,2606,2,0.0009141999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:54:02+00:00,attack_eval,attack_history_run_57,riddle,malware,5,0,,paraphraser,deepseek-chat,ok,2187,92,547,23,0.00017299,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:54:02+00:00,attack_eval,attack_history_run_57,riddle,malware,5,0,,target,gemini-2.5-flash,ok,136,13679,34,3420,0.0036029,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:54:02+00:00,attack_eval,attack_history_run_57,riddle,malware,5,0,,judge,gemini-2.5-flash,ok,14141,6,3536,2,0.0012396999999999998,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T154910Z_attack57_intent_guarded_full,2026-04-12T15:54:35+00:00,attack_eval,attack_history_run_57,riddle,disinfo,1,0,,paraphraser,deepseek-chat,ok,1860,121,465,31,0.00015965,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
