run_id,timestamp_utc,dataset_split,benchmark_id,style,category,repetition,mutation_attempt,topic,call_type,model_name,status,input_chars,output_chars,est_input_tokens,est_output_tokens,est_cost_usd,estimation_method,pricing_source,input_price_per_1m_tokens,output_price_per_1m_tokens,tokens_estimated,cost_estimated
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:07+00:00,attack_eval,attack_history_run_57,riddle,phishing,1,0,,suspicion_detector,gemini-2.5-flash,ok,1130,38,283,10,0.00010954999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:07+00:00,attack_eval,attack_history_run_57,riddle,phishing,1,0,,paraphraser,deepseek-chat,ok,1379,89,345,23,0.00011845,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:07+00:00,attack_eval,attack_history_run_57,riddle,phishing,1,0,,target,gemini-2.5-flash,ok,133,864,34,216,0.00023870000000000003,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:07+00:00,attack_eval,attack_history_run_57,riddle,phishing,1,0,,judge,gemini-2.5-flash,ok,1326,4,332,1,0.00011724999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:25+00:00,attack_eval,attack_history_run_57,riddle,phishing,2,0,,suspicion_detector,gemini-2.5-flash,ok,1033,35,259,9,0.0001001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:25+00:00,attack_eval,attack_history_run_57,riddle,phishing,2,0,,paraphraser,deepseek-chat,ok,1282,100,321,25,0.00011417,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:25+00:00,attack_eval,attack_history_run_57,riddle,phishing,2,0,,target,gemini-2.5-flash,ok,144,1148,36,287,0.00031395000000000007,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:25+00:00,attack_eval,attack_history_run_57,riddle,phishing,2,0,,judge,gemini-2.5-flash,ok,1610,4,403,1,0.00014209999999999998,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:39+00:00,attack_eval,attack_history_run_57,riddle,phishing,3,0,,suspicion_detector,gemini-2.5-flash,ok,994,35,249,9,9.659999999999999e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:39+00:00,attack_eval,attack_history_run_57,riddle,phishing,3,0,,paraphraser,deepseek-chat,ok,1243,70,311,18,0.00010376999999999999,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:39+00:00,attack_eval,attack_history_run_57,riddle,phishing,3,0,,target,gemini-2.5-flash,ok,114,5418,29,1355,0.0014329000000000002,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:19:39+00:00,attack_eval,attack_history_run_57,riddle,phishing,3,0,,judge,gemini-2.5-flash,ok,5880,6,1470,2,0.0005166,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:03+00:00,attack_eval,attack_history_run_57,riddle,phishing,4,0,,suspicion_detector,gemini-2.5-flash,ok,1055,35,264,9,0.00010185,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:03+00:00,attack_eval,attack_history_run_57,riddle,phishing,4,0,,paraphraser,deepseek-chat,ok,1304,81,326,21,0.00011112,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:03+00:00,attack_eval,attack_history_run_57,riddle,phishing,4,0,,target,gemini-2.5-flash,ok,125,818,32,205,0.00022645,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:03+00:00,attack_eval,attack_history_run_57,riddle,phishing,4,0,,judge,gemini-2.5-flash,ok,1280,4,320,1,0.00011305,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:16+00:00,attack_eval,attack_history_run_57,riddle,phishing,5,0,,suspicion_detector,gemini-2.5-flash,ok,1086,38,272,10,0.0001057,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:16+00:00,attack_eval,attack_history_run_57,riddle,phishing,5,0,,paraphraser,deepseek-chat,ok,1335,94,334,24,0.00011658000000000001,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:16+00:00,attack_eval,attack_history_run_57,riddle,phishing,5,0,,target,gemini-2.5-flash,ok,138,357,35,90,0.00010675,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:16+00:00,attack_eval,attack_history_run_57,riddle,phishing,5,0,,judge,gemini-2.5-flash,ok,819,4,205,1,7.28e-05,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:27+00:00,attack_eval,attack_history_run_57,riddle,malware,1,0,,suspicion_detector,gemini-2.5-flash,ok,1477,38,370,10,0.00014,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:27+00:00,attack_eval,attack_history_run_57,riddle,malware,1,0,,paraphraser,deepseek-chat,ok,1726,123,432,31,0.00015074,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.27,1.1,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:27+00:00,attack_eval,attack_history_run_57,riddle,malware,1,0,,target,gemini-2.5-flash,ok,167,850,42,213,0.00023835,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
20260412T151904Z_attack57_suspicious_intent_guarded_full,2026-04-12T15:20:27+00:00,attack_eval,attack_history_run_57,riddle,malware,1,0,,judge,gemini-2.5-flash,ok,1312,4,328,1,0.00011585,chars_div_4_ceiling_v1,static_estimated_pricing_v1,0.35,1.05,True,True
